Outs,1B,2B,3B,RunEnv_,wOBA,RE,count,State,,,,,
2,0,1,0,4.25,0.25,0,2,4,,,,,
2,0,1,0,4,0.34,0.3414,1708,4,,,,,
2,0,1,0,4,0.36,0.3437,741,4,,,,,
2,0,1,0,4,0.32,0.2923,2146,4,,,,,
2,0,1,0,4.5,0.29,0.2117,517,4,,,,,
2,0,1,0,4.25,0.32,0.306,2939,4,,,,,
2,0,1,0,4.75,0.29,0.2328,116,4,,,,,
2,0,1,0,4.5,0.31,0.2875,1648,4,,,,,
2,0,1,0,4,0.33,0.292,2267,4,,,,,
2,0,1,0,4.75,0.31,0.2534,443,4,,,,,
2,0,1,0,4.75,0.26,0.3333,6,4,,,,,
2,0,1,0,3.75,0.4,0,4,4,,,,,
2,0,1,0,4.25,0.41,0.7027,37,4,,,,,
2,0,1,0,4.5,0.41,0.3333,18,4,,,,,
2,0,1,0,4.25,0.26,0.0357,28,4,,,,,
2,0,1,0,4.5,0.39,0.5605,159,4,,,,,
2,0,1,0,4,0.27,0.1144,201,4,,,,,
2,0,1,0,4.25,0.27,0.0725,138,4,,,,,
2,0,1,0,4.75,0.37,0.3077,235,4,,,,,
2,0,1,0,4.75,0.33,0.3744,627,4,,,,,
2,0,1,0,4.25,0.31,0.2598,2046,4,,,,,
2,0,1,0,4,0.3,0.2483,1312,4,,,,,
2,0,1,0,3.75,0.28,0.1579,19,4,,,,,
2,0,1,0,4.25,0.36,0.3627,1059,4,,,,,
2,0,1,0,5,0.34,0.3697,166,4,,,,,
2,0,1,0,4.75,0.35,0.417,483,4,,,,,
2,0,1,0,5,0.37,0.4675,78,4,,,,,
2,0,1,0,5,0.4,0,6,4,,,,,
2,0,1,0,3.75,0.36,0.378,82,4,,,,,
2,0,1,0,4.5,0.36,0.356,885,4,,,,,
2,0,1,0,4.25,0.29,0.208,678,4,,,,,
2,0,1,0,4,0.38,0.3406,277,4,,,,,
2,0,1,0,4.75,0.38,0.3406,138,4,,,,,
2,0,1,0,4.5,0.34,0.3272,1686,4,,,,,
2,0,1,0,3.75,0.3,0.2679,112,4,,,,,
2,0,1,0,5,0.28,0,7,4,,,,,
2,0,1,0,4.75,0.32,0.3153,633,4,,,,,
2,0,1,0,4.5,0.33,0.3068,2151,4,,,,,
2,0,1,0,5,0.36,0.3661,112,4,,,,,
2,0,1,0,3.75,0.35,0.3483,89,4,,,,,
2,0,0,1,4.25,0.37,0.3944,284,5,,,,,
2,0,0,1,4,0.33,0.333,899,5,,,,,
2,0,0,1,3.75,0.42,0,2,5,,,,,
2,0,0,1,3.75,0.4,0,1,5,,,,,
2,0,0,1,3.75,0.36,0.4324,38,5,,,,,
2,0,0,1,4,0.31,0.3179,713,5,,,,,
2,0,0,1,4.75,0.29,0.3542,48,5,,,,,
2,0,0,1,3.75,0.27,0.1429,7,5,,,,,
2,0,0,1,4.25,0.41,0.3333,15,5,,,,,
2,0,0,1,4.5,0.39,0.5833,74,5,,,,,
2,0,0,1,5,0.34,0.3774,53,5,,,,,
2,0,0,1,4.75,0.26,0,2,5,,,,,
2,0,0,1,4,0.38,0.2982,115,5,,,,,
2,0,0,1,4.5,0.37,0.4221,244,5,,,,,
2,0,0,1,4.75,0.34,0.4058,207,5,,,,,
2,0,0,1,4.5,0.35,0.367,548,5,,,,,
2,0,0,1,4.5,0.26,0,11,5,,,,,
2,0,0,1,4.75,0.38,0.5065,77,5,,,,,
2,0,0,1,4.75,0.39,0.6,15,5,,,,,
2,0,0,1,4.25,0.27,0.0548,73,5,,,,,
2,0,0,1,4.25,0.42,0,1,5,,,,,
2,0,0,1,4,0.26,0,19,5,,,,,
2,0,0,1,4.5,0.36,0.4855,380,5,,,,,
2,0,0,1,4.5,0.31,0.342,657,5,,,,,
2,0,0,1,4,0.32,0.2844,896,5,,,,,
2,0,0,1,4.75,0.32,0.3595,243,5,,,,,
2,0,0,1,5,0.29,0,9,5,,,,,
2,0,0,1,4.25,0.33,0.3203,1072,5,,,,,
2,0,0,1,4,0.4,0.1333,15,5,,,,,
2,0,0,1,4.25,0.32,0.3556,1146,5,,,,,
2,0,0,1,4,0.34,0.3804,745,5,,,,,
2,0,0,1,4.5,0.41,0.75,8,5,,,,,
2,0,0,1,3.75,0.29,0.1176,34,5,,,,,
2,0,0,1,4.5,0.33,0.3514,833,5,,,,,
2,0,0,1,5,0.3,0.3182,22,5,,,,,
2,0,0,1,4.25,0.3,0.271,526,5,,,,,
2,0,0,1,5,0.36,0.3929,56,5,,,,,
2,0,0,1,3.75,0.32,0.3377,77,5,,,,,
2,0,0,1,4,0.3,0.2607,537,5,,,,,
2,0,0,1,4,0.36,0.4983,299,5,,,,,
2,0,0,1,4.75,0.31,0.3801,172,5,,,,,
2,0,0,1,4.25,0.4,0.2143,42,5,,,,,
2,0,0,1,3.75,0.25,0,2,5,,,,,
2,0,0,1,4.5,0.28,0.2967,91,5,,,,,
2,0,0,1,5,0.31,0.1463,41,5,,,,,
2,0,0,1,4,0.41,1,2,5,,,,,
2,0,0,1,4.5,0.38,0.4328,134,5,,,,,
2,0,0,1,3.75,0.3,0.2245,49,5,,,,,
2,0,0,1,4,0.25,0,1,5,,,,,
2,0,0,1,3.75,0.28,0.1667,18,5,,,,,
2,0,0,1,3.75,0.31,0.1964,56,5,,,,,
2,0,0,1,5,0.38,0.1905,21,5,,,,,
2,0,0,1,4.75,0.28,0.1739,23,5,,,,,
2,0,0,1,4,0.35,0.4,473,5,,,,,
2,0,0,1,5,0.4,0.1667,6,5,,,,,
2,0,0,1,5,0.33,0.2679,56,5,,,,,
2,0,0,1,3.75,0.26,0,2,5,,,,,
2,0,0,1,4.5,0.27,0.2188,32,5,,,,,
2,0,0,1,5,0.37,0.3,31,5,,,,,
2,0,0,1,4.5,0.29,0.2113,195,5,,,,,
2,0,0,1,4.25,0.39,0.3373,83,5,,,,,
2,0,0,1,4,0.39,0.2373,59,5,,,,,
2,0,0,1,4.5,0.32,0.3613,910,5,,,,,
2,0,0,1,4,0.27,0.1375,80,5,,,,,
2,0,0,1,4.75,0.4,0.65,20,5,,,,,
2,0,0,1,3.75,0.37,0.2857,7,5,,,,,
2,0,0,1,4.75,0.35,0.3869,199,5,,,,,
2,0,0,1,4,0.28,0.1512,173,5,,,,,
2,0,0,1,4.5,0.42,0.6667,3,5,,,,,
2,0,0,1,4.75,0.3,0.2759,116,5,,,,,
2,0,0,1,5,0.27,0,1,5,,,,,
2,0,0,1,4.75,0.27,0,3,5,,,,,
2,0,0,1,4.25,0.35,0.3365,836,5,,,,,
2,0,0,1,4.25,0.36,0.3753,422,5,,,,,
